,accuracy,precision,recall,f1,auc,average_precision
graph_individual,0.8257575757575758,0.08333333333333333,0.07692307692307693,0.08,0.5190691661279897,0.19081814224615276
text_individual,0.8257575757575758,0.14285714285714285,0.15384615384615385,0.14814814814814814,0.5265029088558499,0.10531135531135531
behavioral_individual,0.5075757575757576,0.05172413793103448,0.23076923076923078,0.08450704225352113,0.39107950872656755,0.0919580026297776
transaction_individual,0.9015151515151515,0.0,0.0,0.0,0.4815772462831287,0.17898830109617783
weighted_ensemble_ensemble,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
logistic_stacking_ensemble,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
random_forest_stacking_ensemble,1.0,1.0,1.0,1.0,1.0,1.0
gradient_boosting_stacking_ensemble,0.9924242424242424,1.0,0.9230769230769231,0.96,1.0,1.0
neural_network_stacking_ensemble,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
hierarchical_fusion_ensemble,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
