transaction_id,timestamp,true_label,fraud_probability,risk_category,risk_score,confidence_level,decision,decision_confidence,graph_score,text_score,behavioral_score,transaction_score,risk_factors,explanation,model_used,model_version,recommended_actions,requires_human_review,priority_level,investigation_notes
TXN_000005,2025-09-18T18:15:19.860306,1,0.8014,HIGH,4,HIGH,BLOCK,0.8014,0.0002,0,0.4094,0.0188,['high_overall_fraud_probability'],High fraud probability (80.1%) detected across multiple indicators.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,[]
TXN_000009,2025-09-18T18:15:19.861689,1,0.806,HIGH,4,HIGH,BLOCK,0.806,0.0185,0,0.4936,0.0337,['high_overall_fraud_probability'],High fraud probability (80.6%) detected across multiple indicators.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,[]
TXN_000015,2025-09-18T18:15:19.863573,1,0.8007,HIGH,4,HIGH,BLOCK,0.8007,0.0,0,0.4822,0.1953,['high_overall_fraud_probability'],High fraud probability (80.1%) detected across multiple indicators.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,[]
TXN_000017,2025-09-18T18:15:19.864300,1,0.8149,HIGH,4,HIGH,BLOCK,0.8149,0.9999,0,0.5609,0.0213,"['high_graph_risk', 'moderate_behavioral_risk', 'high_overall_fraud_probability']",High fraud probability (81.5%) detected across multiple indicators. High risk indicators in: graph.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,"['Primary concern: graph analysis shows 100.0% risk', 'Network analysis indicates suspicious connection patterns']"
TXN_000018,2025-09-18T18:15:19.864641,1,0.811,HIGH,4,HIGH,BLOCK,0.811,0.0,1,0.4413,0.0104,"['high_text_risk', 'high_overall_fraud_probability']",High fraud probability (81.1%) detected across multiple indicators. High risk indicators in: text.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,"['Primary concern: text analysis shows 100.0% risk', 'Communication analysis reveals suspicious content patterns']"
TXN_000039,2025-09-18T18:15:19.871020,1,0.6729,HIGH,3,MEDIUM,CHALLENGE,0.6729,0.0,0,0.3986,0.0058,['elevated_fraud_probability'],Moderate fraud probability (67.3%) requires attention.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,MEDIUM,[]
TXN_000048,2025-09-18T18:15:19.874352,1,0.7935,HIGH,4,HIGH,BLOCK,0.7935,0.0,0,0.3118,0.0075,['elevated_fraud_probability'],High fraud probability (79.4%) detected across multiple indicators.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,[]
TXN_000075,2025-09-18T18:15:19.884065,1,0.8105,HIGH,4,HIGH,BLOCK,0.8105,0.0172,0,0.6671,0.0183,"['moderate_behavioral_risk', 'high_overall_fraud_probability']",High fraud probability (81.1%) detected across multiple indicators. High risk indicators in: behavioral.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,[]
TXN_000085,2025-09-18T18:15:19.887076,1,0.807,HIGH,4,HIGH,BLOCK,0.807,0.0095,0,0.3261,0.0097,['high_overall_fraud_probability'],High fraud probability (80.7%) detected across multiple indicators.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,[]
TXN_000090,2025-09-18T18:15:19.888665,1,0.7907,HIGH,4,HIGH,BLOCK,0.7907,0.0024,1,0.2749,0.0736,"['high_text_risk', 'elevated_fraud_probability']",High fraud probability (79.1%) detected across multiple indicators. High risk indicators in: text.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,"['Primary concern: text analysis shows 100.0% risk', 'Communication analysis reveals suspicious content patterns']"
TXN_000105,2025-09-18T18:15:19.892860,1,0.8,HIGH,4,HIGH,BLOCK,0.8,0.0013,0,0.67,0.0113,"['moderate_behavioral_risk', 'high_overall_fraud_probability']",High fraud probability (80.0%) detected across multiple indicators. High risk indicators in: behavioral.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,[]
TXN_000123,2025-09-18T18:15:19.897938,1,0.7,HIGH,3,MEDIUM,CHALLENGE,0.7,0.2047,0,0.4512,0.012,['elevated_fraud_probability'],High fraud probability (70.0%) detected across multiple indicators.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,[]
TXN_000131,2025-09-18T18:15:19.899987,1,0.8102,HIGH,4,HIGH,BLOCK,0.8102,0.0001,0,0.4575,0.0114,['high_overall_fraud_probability'],High fraud probability (81.0%) detected across multiple indicators.,weighted_ensemble,2.0,"['Manual review required', 'Additional authentication', 'Hold payment pending review']",True,HIGH,[]
